name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.bundle_courses\` has a foreign key \`bundle_courses_course_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""bundle_courses"",""type"":""table"",""schema"":""public"",""fkey_name"":""bundle_courses_course_id_fkey"",""fkey_columns"":[3]}",unindexed_foreign_keys_public_bundle_courses_bundle_courses_course_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.contact_tag_assignments\` has a foreign key \`contact_tag_assignments_user_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""contact_tag_assignments"",""type"":""table"",""schema"":""public"",""fkey_name"":""contact_tag_assignments_user_id_fkey"",""fkey_columns"":[3]}",unindexed_foreign_keys_public_contact_tag_assignments_contact_tag_assignments_user_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.email_list_members\` has a foreign key \`email_list_members_user_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""email_list_members"",""type"":""table"",""schema"":""public"",""fkey_name"":""email_list_members_user_id_fkey"",""fkey_columns"":[3]}",unindexed_foreign_keys_public_email_list_members_email_list_members_user_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.email_sequence_enrollments\` has a foreign key \`email_sequence_enrollments_user_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""email_sequence_enrollments"",""type"":""table"",""schema"":""public"",""fkey_name"":""email_sequence_enrollments_user_id_fkey"",""fkey_columns"":[3]}",unindexed_foreign_keys_public_email_sequence_enrollments_email_sequence_enrollments_user_id_fkey
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_admin_staff_invited_by\` on table \`public.admin_staff\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""admin_staff"",""type"":""table"",""schema"":""public""}",unused_index_public_admin_staff_idx_admin_staff_invited_by
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_affiliate_applications_commission_group_id\` on table \`public.affiliate_applications\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""affiliate_applications"",""type"":""table"",""schema"":""public""}",unused_index_public_affiliate_applications_idx_affiliate_applications_commission_group_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_affiliate_applications_user_id\` on table \`public.affiliate_applications\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""affiliate_applications"",""type"":""table"",""schema"":""public""}",unused_index_public_affiliate_applications_idx_affiliate_applications_user_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_affiliate_bank_details_user_id\` on table \`public.affiliate_bank_details\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""affiliate_bank_details"",""type"":""table"",""schema"":""public""}",unused_index_public_affiliate_bank_details_idx_affiliate_bank_details_user_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_affiliate_clicks_affiliate_id\` on table \`public.affiliate_clicks\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""affiliate_clicks"",""type"":""table"",""schema"":""public""}",unused_index_public_affiliate_clicks_idx_affiliate_clicks_affiliate_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_affiliate_clicks_course_id\` on table \`public.affiliate_clicks\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""affiliate_clicks"",""type"":""table"",""schema"":""public""}",unused_index_public_affiliate_clicks_idx_affiliate_clicks_course_id
